membaca read
menulis write
menggambar draw
melukis paint
menyanyi sing
menari dance
berenang swim
memasak cook
membersih clean
mencuci wash
menyapu sweep
mengepel mop
menyetrika iron
menjahit sew
menanam plant
memancing fishing
berkemah camp
berjalan walk
berlari run
bersepeda bike
berdoa pray
bangun wake
